Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency,Scryfall URL,Image URL,Prix
Genesis Hydra,MOC,March of the Machine Commander,298,normal,rare,1,81724,69467d04-6c7d-44d1-88c4-9721741d6034,0.21,False,False,near_mint,fr,EUR,https://scryfall.com/card/otc/193/genesis-hydra?utm_source=api,https://cards.scryfall.io/normal/front/5/5/55502dd7-a92b-41bc-b6b1-8e0347649faf.jpg?1712354569,0.20
Good-Fortune Unicorn,MOC,March of the Machine Commander,326,normal,uncommon,1,81861,a9c61721-3f80-44e6-8a75-08ff609e4470,0.22,False,False,near_mint,fr,EUR,https://scryfall.com/card/moc/326/good-fortune-unicorn?utm_source=api,https://cards.scryfall.io/normal/front/a/9/a9c61721-3f80-44e6-8a75-08ff609e4470.jpg?1682209745,0.20
Guardian Scalelord,MOC,March of the Machine Commander,16,normal,rare,1,81411,94716d24-e8c6-4cd2-a3ac-20cdb929bfd4,3.3,False,False,near_mint,fr,EUR,https://scryfall.com/card/moc/16/guardian-scalelord?utm_source=api,https://cards.scryfall.io/normal/front/9/4/94716d24-e8c6-4cd2-a3ac-20cdb929bfd4.jpg?1682207337,3.07
Gyre Sage,MOC,March of the Machine Commander,300,normal,rare,1,81924,be573ae7-967a-4b98-9058-ec3ff82ff63f,2.56,False,False,near_mint,fr,EUR,https://scryfall.com/card/moc/300/gyre-sage?utm_source=api,https://cards.scryfall.io/normal/front/b/e/be573ae7-967a-4b98-9058-ec3ff82ff63f.jpg?1682209516,2.96
"Hamza, Guardian of Arashin",MOC,March of the Machine Commander,327,normal,uncommon,1,82047,f402e6d9-8c72-4b31-bec5-4a1b3ffb39ae,0.13,False,False,near_mint,fr,EUR,https://scryfall.com/card/cmm/339/hamza-guardian-of-arashin?utm_source=api,https://cards.scryfall.io/normal/front/a/d/adc7f8f3-140d-4dd0-aacc-b81b2b93eb67.jpg?1689999064,0.13
Heaven // Earth,MOC,March of the Machine Commander,328,normal,rare,1,81779,82202ac9-7281-4d12-af4e-a8147cc38296,0.14,False,False,near_mint,fr,EUR,https://scryfall.com/card/otc/230/heaven-earth?utm_source=api,https://cards.scryfall.io/normal/front/b/0/b0bd107d-3915-4177-aa02-9106f3abbd86.jpg?1712354732,0.22
High Sentinels of Arashin,MOC,March of the Machine Commander,189,normal,rare,1,81976,d46b34ed-88a4-4868-9ce3-b91901e600d3,0.1,False,False,near_mint,fr,EUR,https://scryfall.com/card/moc/189/high-sentinels-of-arashin?utm_source=api,https://cards.scryfall.io/normal/front/d/4/d46b34ed-88a4-4868-9ce3-b91901e600d3.jpg?1682208452,0.11
Hindervines,MOC,March of the Machine Commander,301,normal,uncommon,1,81910,bab0c821-965c-4086-b787-f30a6da86ff8,0.16,False,False,near_mint,fr,EUR,https://scryfall.com/card/moc/301/hindervines?utm_source=api,https://cards.scryfall.io/normal/front/b/a/bab0c821-965c-4086-b787-f30a6da86ff8.jpg?1682209526,0.16
Ichor Elixir,MOC,March of the Machine Commander,46,normal,rare,1,81370,5ff34beb-9a69-4e15-91d3-be2100b73797,0.11,False,False,near_mint,fr,EUR,https://scryfall.com/card/moc/46/ichor-elixir?utm_source=api,https://cards.scryfall.io/normal/front/5/f/5ff34beb-9a69-4e15-91d3-be2100b73797.jpg?1682207610,0.10
Incubation Druid,MOC,March of the Machine Commander,302,normal,rare,1,81891,b3d8c95e-09b9-46d6-80e9-95adb2c2ea9d,1.44,False,False,near_mint,fr,EUR,https://scryfall.com/card/moc/302/incubation-druid?utm_source=api,https://cards.scryfall.io/normal/front/b/3/b3d8c95e-09b9-46d6-80e9-95adb2c2ea9d.jpg?1682209534,1.42
Inscription of Abundance,MOC,March of the Machine Commander,303,normal,rare,1,81794,897404de-93d8-433e-8e5f-5964d9cc2c2a,0.22,False,False,near_mint,fr,EUR,https://scryfall.com/card/moc/303/inscription-of-abundance?utm_source=api,https://cards.scryfall.io/normal/front/8/9/897404de-93d8-433e-8e5f-5964d9cc2c2a.jpg?1682209543,0.25
Inspiring Call,MOC,March of the Machine Commander,304,normal,uncommon,1,81894,b5f00ea4-a26f-49c6-b175-c3b7cb42c3ae,0.4,False,False,near_mint,fr,EUR,https://scryfall.com/card/lcc/244/inspiring-call?utm_source=api,https://cards.scryfall.io/normal/front/6/c/6c3dd578-15c9-46c9-9dbd-330e86df8cae.jpg?1698988370,0.38
Ion Storm,MOC,March of the Machine Commander,286,normal,rare,1,81610,3871356b-a44c-4393-a69b-e5101508c5a8,0.11,False,False,near_mint,fr,EUR,https://scryfall.com/card/moc/286/ion-storm?utm_source=api,https://cards.scryfall.io/normal/front/3/8/3871356b-a44c-4393-a69b-e5101508c5a8.jpg?1682209390,0.11
Jungle Shrine,MOC,March of the Machine Commander,408,normal,uncommon,1,81564,24bec77b-a5f4-4f71-a8ca-4f365dc755d8,0.27,False,False,near_mint,fr,EUR,https://scryfall.com/card/otc/303/jungle-shrine?utm_source=api,https://cards.scryfall.io/normal/front/1/9/194c6ee7-c220-41a5-bf44-5e1d8d92879b.jpg?1712355055,0.14
Juniper Order Ranger,MOC,March of the Machine Commander,330,normal,uncommon,1,81834,9f299f1e-2694-44e6-aad4-1f29c2ee5553,0.14,False,False,near_mint,fr,EUR,https://scryfall.com/card/moc/330/juniper-order-ranger?utm_source=api,https://cards.scryfall.io/normal/front/9/f/9f299f1e-2694-44e6-aad4-1f29c2ee5553.jpg?1682209781,0.11
Kalonian Hydra,MOC,March of the Machine Commander,305,normal,mythic,1,81546,1d21ae20-2ef5-4dc0-aced-97497e6a8025,7.57,False,False,near_mint,fr,EUR,https://scryfall.com/card/moc/305/kalonian-hydra?utm_source=api,https://cards.scryfall.io/normal/front/1/d/1d21ae20-2ef5-4dc0-aced-97497e6a8025.jpg?1682209560,8.61
Kessig Wolf Run,MOC,March of the Machine Commander,410,normal,rare,1,81795,8a238f08-f7c3-46be-b999-77b1c310cb1a,0.31,False,False,near_mint,fr,EUR,https://scryfall.com/card/mkc/269/kessig-wolf-run?utm_source=api,https://cards.scryfall.io/normal/front/f/c/fcdbc6ba-714d-4f38-8299-dc875ec76a3d.jpg?1706241180,0.24
Kodama's Reach,MOC,March of the Machine Commander,306,normal,common,1,81796,8b0306e0-8887-451c-aad2-527b8161b0fe,0.95,False,False,near_mint,fr,EUR,https://scryfall.com/card/otc/196/kodamas-reach?utm_source=api,https://cards.scryfall.io/normal/front/e/d/eddf5231-7c46-417b-82c3-f6a8ede5ac9c.jpg?1712354581,0.71
"Krenko, Tin Street Kingpin",MOC,March of the Machine Commander,287,normal,rare,1,81587,2f5689e2-d8a2-442b-8027-f89686adcb67,0.81,False,False,near_mint,fr,EUR,https://scryfall.com/card/moc/287/krenko-tin-street-kingpin?utm_source=api,https://cards.scryfall.io/normal/front/2/f/2f5689e2-d8a2-442b-8027-f89686adcb67.jpg?1682209400,0.65
